,Player,tm,pos,yr2019_20,avg_cost_per_pt,Age,PER,pts,g,mp,ast,stl,blk
1311,Marco Belinelli,SAS,SG,5846154.0,16194.33,33,10.8,361.0,57.0,883.0,69.0,12.0,1.0
1312,Patty Mills,SAS,PG,12428571.0,16204.13,31,14.8,767.0,66.0,1485.0,118.0,53.0,6.0
1313,Goga Bitadze,IND,C,2816760.0,16376.51,20,12.1,172.0,54.0,471.0,23.0,10.0,37.0
1314,George Hill,MIL,PG,9133907.0,16487.2,33,16.9,554.0,59.0,1271.0,180.0,47.0,5.0
1315,P.J. Tucker,HOU,PF,8349039.0,16698.08,34,8.3,500.0,72.0,2467.0,115.0,77.0,36.0
1316,Anthony Davis,LAL,PF,27093019.0,16744.76,26,27.4,1618.0,62.0,2131.0,200.0,91.0,143.0
1317,Ersan İlyasova,MIL,PF,7000000.0,16908.21,32,14.9,414.0,63.0,986.0,49.0,24.0,17.0
1318,Joe Ingles,UTA,SF,11954546.0,16908.83,32,12.6,707.0,72.0,2137.0,373.0,65.0,11.0
1319,Jake Layman,MIN,PF,3581986.0,17057.08,25,10.3,210.0,23.0,505.0,15.0,17.0,10.0
1320,Reggie Bullock,NYK,SG,4000000.0,17094.02,28,9.3,234.0,29.0,684.0,42.0,25.0,3.0
1321,Eric Bledsoe,MIL,PG,15625000.0,17151.48,30,17.6,911.0,61.0,1646.0,328.0,57.0,26.0
1322,Tyus Jones,MEM,PG,8408000.0,17371.9,23,15.7,484.0,65.0,1232.0,285.0,59.0,6.0
1323,Terry Rozier,CHO,PG,19894737.0,17543.86,25,14.8,1134.0,63.0,2164.0,259.0,61.0,10.0
1324,CJ McCollum,POR,SG,27556959.0,17710.13,28,17.0,1556.0,70.0,2556.0,310.0,54.0,42.0
1325,Elfrid Payton,NYK,PG,8000000.0,17817.37,25,16.0,449.0,45.0,1246.0,323.0,70.0,17.0
1326,Zion Williamson,NOP,PF,9757440.0,18069.33,19,24.1,540.0,24.0,668.0,50.0,16.0,9.0
1327,Jerome Robinson,WAS,SG,3567720.0,18110.25,22,7.4,197.0,21.0,503.0,41.0,15.0,9.0
1328,Jeremy Lamb,IND,SG,10500000.0,18197.57,27,14.0,577.0,46.0,1291.0,96.0,55.0,22.0
1329,Nikola Jokić,DEN,C,26573595.0,18251.1,24,24.9,1456.0,73.0,2336.0,512.0,85.0,44.0
1330,Chasson Randle,GSW,PG,91557.0,18311.4,26,6.7,5.0,3.0,40.0,5.0,2.0,0.0
1331,Juan Hernangómez,MIN,PF,3321030.0,18348.23,24,10.4,181.0,14.0,411.0,18.0,14.0,4.0
1332,DeMar DeRozan,SAS,SF,27739975.0,18444.13,30,21.6,1504.0,68.0,2316.0,380.0,70.0,20.0
1333,E'Twaun Moore,NOP,SG,8664928.0,18594.27,30,11.3,466.0,56.0,1020.0,78.0,32.0,11.0
1334,Dean Wade,CLE,PF,375000.0,18750.0,23,13.9,20.0,12.0,71.0,2.0,2.0,4.0
1335,Delon Wright,DAL,SG,9473684.0,18796.99,27,15.4,504.0,73.0,1570.0,244.0,85.0,22.0
1336,Ricky Rubio,PHO,PG,16190476.0,19115.08,29,16.5,847.0,65.0,2016.0,570.0,94.0,11.0
1337,Rudy Gay,SAS,PF,14000000.0,19283.75,33,15.4,726.0,67.0,1461.0,114.0,35.0,33.0
1338,Tim Frazier,DET,PG,1882867.0,19411.0,29,9.8,97.0,27.0,355.0,93.0,14.0,4.0
1339,Danilo Gallinari,OKC,PF,22615559.0,19496.17,31,19.5,1160.0,62.0,1834.0,119.0,42.0,5.0
1340,Thaddeus Young,CHI,PF,12900000.0,19575.11,31,13.3,659.0,64.0,1591.0,117.0,92.0,23.0
1341,Kyle O'Quinn,PHI,C,2028594.0,19888.18,29,18.6,102.0,29.0,313.0,51.0,7.0,24.0
1342,Goran Dragić,MIA,PG,19217900.0,20165.69,33,16.3,953.0,59.0,1663.0,301.0,40.0,10.0
1343,Ryan Broekhoff,DAL,SG,1443842.0,20335.8,29,13.1,71.0,17.0,180.0,11.0,5.0,4.0
1344,Wenyen Gabriel,POR,PF,898310.0,20416.14,22,9.6,44.0,19.0,174.0,5.0,8.0,5.0
1345,Jordan Clarkson,UTA,SG,13437500.0,20515.27,27,18.6,655.0,42.0,1039.0,66.0,29.0,8.0
